table_schema,table_name,constraint_name,constraint_type,column_name,foreign_table_name,foreign_column_name
public,01_brand,2200_27037_10_not_null,CHECK,null,null,null
public,01_brand,2200_27037_11_not_null,CHECK,null,null,null
public,01_brand,2200_27037_1_not_null,CHECK,null,null,null
public,01_brand,2200_27037_2_not_null,CHECK,null,null,null
public,01_brand,2200_27037_3_not_null,CHECK,null,null,null
public,01_brand,2200_27037_8_not_null,CHECK,null,null,null
public,01_brand,2200_27037_9_not_null,CHECK,null,null,null
public,01_brand,01_brand_pkey,PRIMARY KEY,brand_id,01_brand,brand_id
public,01_brand,01_brand_brand_key_key,UNIQUE,brand_key,01_brand,brand_key
public,01_brand,01_brand_slug_key,UNIQUE,slug,01_brand,slug
public,02_bike_model,2200_27052_10_not_null,CHECK,null,null,null
public,02_bike_model,2200_27052_11_not_null,CHECK,null,null,null
public,02_bike_model,2200_27052_12_not_null,CHECK,null,null,null
public,02_bike_model,2200_27052_13_not_null,CHECK,null,null,null
public,02_bike_model,2200_27052_1_not_null,CHECK,null,null,null
public,02_bike_model,2200_27052_2_not_null,CHECK,null,null,null
public,02_bike_model,2200_27052_3_not_null,CHECK,null,null,null
public,02_bike_model,2200_27052_4_not_null,CHECK,null,null,null
public,02_bike_model,02_bike_model_brand_id_fkey,FOREIGN KEY,brand_id,01_brand,brand_id
public,02_bike_model,02_bike_model_pkey,PRIMARY KEY,bike_model_id,02_bike_model,bike_model_id
public,02_bike_model,02_bike_model_model_key_key,UNIQUE,model_key,02_bike_model,model_key
public,02_bike_model,uq_02_bike_model_brand_slug,UNIQUE,brand_id,02_bike_model,brand_id
public,02_bike_model,uq_02_bike_model_brand_slug,UNIQUE,brand_id,02_bike_model,slug
public,02_bike_model,uq_02_bike_model_brand_slug,UNIQUE,slug,02_bike_model,slug
public,02_bike_model,uq_02_bike_model_brand_slug,UNIQUE,slug,02_bike_model,brand_id
public,03_bike_model_year,03_bike_model_year_front_tire_tube_type_check,CHECK,null,03_bike_model_year,front_tire_tube_type
public,03_bike_model_year,03_bike_model_year_rear_tire_tube_type_check,CHECK,null,03_bike_model_year,rear_tire_tube_type
public,03_bike_model_year,2200_27072_14_not_null,CHECK,null,null,null
public,03_bike_model_year,2200_27072_1_not_null,CHECK,null,null,null
public,03_bike_model_year,2200_27072_2_not_null,CHECK,null,null,null
public,03_bike_model_year,2200_27072_3_not_null,CHECK,null,null,null
public,03_bike_model_year,2200_27072_40_not_null,CHECK,null,null,null
public,03_bike_model_year,2200_27072_41_not_null,CHECK,null,null,null
public,03_bike_model_year,2200_27072_42_not_null,CHECK,null,null,null
public,03_bike_model_year,2200_27072_4_not_null,CHECK,null,null,null
public,03_bike_model_year,2200_27072_6_not_null,CHECK,null,null,null
public,03_bike_model_year,2200_27072_7_not_null,CHECK,null,null,null
public,03_bike_model_year,2200_27072_8_not_null,CHECK,null,null,null
public,03_bike_model_year,chk_03_bike_model_year_year_range,CHECK,null,03_bike_model_year,start_year
public,03_bike_model_year,chk_03_bike_model_year_year_range,CHECK,null,03_bike_model_year,end_year
public,03_bike_model_year,03_bike_model_year_bike_model_id_fkey,FOREIGN KEY,bike_model_id,02_bike_model,bike_model_id
public,03_bike_model_year,03_bike_model_year_pkey,PRIMARY KEY,bike_model_year_id,03_bike_model_year,bike_model_year_id
public,03_bike_model_year,03_bike_model_year_canonical_key_key,UNIQUE,canonical_key,03_bike_model_year,canonical_key
public,03_bike_model_year,03_bike_model_year_model_year_key_key,UNIQUE,model_year_key,03_bike_model_year,model_year_key
public,04_tire_product,04_tire_product_position_type_check,CHECK,null,04_tire_product,position_type
public,04_tire_product,04_tire_product_tube_type_check,CHECK,null,04_tire_product,tube_type
public,04_tire_product,2200_27096_17_not_null,CHECK,null,null,null
public,04_tire_product,2200_27096_18_not_null,CHECK,null,null,null
public,04_tire_product,2200_27096_19_not_null,CHECK,null,null,null
public,04_tire_product,2200_27096_1_not_null,CHECK,null,null,null
public,04_tire_product,2200_27096_2_not_null,CHECK,null,null,null
public,04_tire_product,2200_27096_3_not_null,CHECK,null,null,null
public,04_tire_product,2200_27096_4_not_null,CHECK,null,null,null
public,04_tire_product,04_tire_product_pkey,PRIMARY KEY,tire_product_id,04_tire_product,tire_product_id
public,04_tire_product,04_tire_product_tire_product_key_key,UNIQUE,tire_product_key,04_tire_product,tire_product_key
public,05_battery_product,05_battery_product_battery_type_check,CHECK,null,05_battery_product,battery_type
public,05_battery_product,05_battery_product_terminal_polarity_check,CHECK,null,05_battery_product,terminal_polarity
public,05_battery_product,2200_27111_1_not_null,CHECK,null,null,null
public,05_battery_product,2200_27111_22_not_null,CHECK,null,null,null
public,05_battery_product,2200_27111_23_not_null,CHECK,null,null,null
public,05_battery_product,2200_27111_24_not_null,CHECK,null,null,null
public,05_battery_product,2200_27111_2_not_null,CHECK,null,null,null
public,05_battery_product,2200_27111_3_not_null,CHECK,null,null,null
public,05_battery_product,2200_27111_4_not_null,CHECK,null,null,null
public,05_battery_product,05_battery_product_pkey,PRIMARY KEY,battery_product_id,05_battery_product,battery_product_id
public,05_battery_product,05_battery_product_battery_part_key_key,UNIQUE,battery_part_key,05_battery_product,battery_part_key
public,06_brake_product,06_brake_product_brake_type_check,CHECK,null,06_brake_product,brake_type
public,06_brake_product,06_brake_product_position_type_check,CHECK,null,06_brake_product,position_type
public,06_brake_product,2200_27126_12_not_null,CHECK,null,null,null
public,06_brake_product,2200_27126_13_not_null,CHECK,null,null,null
public,06_brake_product,2200_27126_14_not_null,CHECK,null,null,null
public,06_brake_product,2200_27126_1_not_null,CHECK,null,null,null
public,06_brake_product,2200_27126_2_not_null,CHECK,null,null,null
public,06_brake_product,2200_27126_3_not_null,CHECK,null,null,null
public,06_brake_product,2200_27126_4_not_null,CHECK,null,null,null
public,06_brake_product,06_brake_product_pkey,PRIMARY KEY,brake_product_id,06_brake_product,brake_product_id
public,06_brake_product,06_brake_product_brake_product_key_key,UNIQUE,brake_product_key,06_brake_product,brake_product_key
public,07_bike_model_year_tire_product,07_bike_model_year_tire_product_match_type_check,CHECK,null,07_bike_model_year_tire_product,match_type
public,07_bike_model_year_tire_product,07_bike_model_year_tire_product_position_type_check,CHECK,null,07_bike_model_year_tire_product,position_type
public,07_bike_model_year_tire_product,2200_27141_1_not_null,CHECK,null,null,null
public,07_bike_model_year_tire_product,2200_27141_2_not_null,CHECK,null,null,null
public,07_bike_model_year_tire_product,2200_27141_3_not_null,CHECK,null,null,null
public,07_bike_model_year_tire_product,2200_27141_4_not_null,CHECK,null,null,null
public,07_bike_model_year_tire_product,2200_27141_5_not_null,CHECK,null,null,null
public,07_bike_model_year_tire_product,2200_27141_6_not_null,CHECK,null,null,null
public,07_bike_model_year_tire_product,2200_27141_7_not_null,CHECK,null,null,null
public,07_bike_model_year_tire_product,2200_27141_8_not_null,CHECK,null,null,null
public,07_bike_model_year_tire_product,2200_27141_9_not_null,CHECK,null,null,null
public,07_bike_model_year_tire_product,07_bike_model_year_tire_product_bike_model_year_id_fkey,FOREIGN KEY,bike_model_year_id,03_bike_model_year,bike_model_year_id
public,07_bike_model_year_tire_product,07_bike_model_year_tire_product_tire_product_id_fkey,FOREIGN KEY,tire_product_id,04_tire_product,tire_product_id
public,07_bike_model_year_tire_product,07_bike_model_year_tire_product_pkey,PRIMARY KEY,id,07_bike_model_year_tire_product,id
public,07_bike_model_year_tire_product,uq_07_bike_model_year_tire_product,UNIQUE,bike_model_year_id,07_bike_model_year_tire_product,bike_model_year_id
public,07_bike_model_year_tire_product,uq_07_bike_model_year_tire_product,UNIQUE,tire_product_id,07_bike_model_year_tire_product,tire_product_id
public,07_bike_model_year_tire_product,uq_07_bike_model_year_tire_product,UNIQUE,position_type,07_bike_model_year_tire_product,bike_model_year_id
public,07_bike_model_year_tire_product,uq_07_bike_model_year_tire_product,UNIQUE,position_type,07_bike_model_year_tire_product,tire_product_id
public,07_bike_model_year_tire_product,uq_07_bike_model_year_tire_product,UNIQUE,position_type,07_bike_model_year_tire_product,position_type
public,07_bike_model_year_tire_product,uq_07_bike_model_year_tire_product,UNIQUE,bike_model_year_id,07_bike_model_year_tire_product,position_type
public,07_bike_model_year_tire_product,uq_07_bike_model_year_tire_product,UNIQUE,bike_model_year_id,07_bike_model_year_tire_product,tire_product_id
public,07_bike_model_year_tire_product,uq_07_bike_model_year_tire_product,UNIQUE,tire_product_id,07_bike_model_year_tire_product,bike_model_year_id
public,07_bike_model_year_tire_product,uq_07_bike_model_year_tire_product,UNIQUE,tire_product_id,07_bike_model_year_tire_product,position_type
public,08_battery_standard_product,08_battery_standard_product_match_type_check,CHECK,null,08_battery_standard_product,match_type
public,08_battery_standard_product,2200_27167_1_not_null,CHECK,null,null,null
public,08_battery_standard_product,2200_27167_2_not_null,CHECK,null,null,null
public,08_battery_standard_product,2200_27167_3_not_null,CHECK,null,null,null
public,08_battery_standard_product,2200_27167_4_not_null,CHECK,null,null,null
public,08_battery_standard_product,2200_27167_5_not_null,CHECK,null,null,null
public,08_battery_standard_product,2200_27167_6_not_null,CHECK,null,null,null
public,08_battery_standard_product,2200_27167_7_not_null,CHECK,null,null,null
public,08_battery_standard_product,2200_27167_8_not_null,CHECK,null,null,null
public,08_battery_standard_product,08_battery_standard_product_battery_product_id_fkey,FOREIGN KEY,battery_product_id,05_battery_product,battery_product_id
public,08_battery_standard_product,08_battery_standard_product_pkey,PRIMARY KEY,id,08_battery_standard_product,id
public,08_battery_standard_product,uq_08_battery_standard_product,UNIQUE,battery_product_id,08_battery_standard_product,battery_standard_code
public,08_battery_standard_product,uq_08_battery_standard_product,UNIQUE,battery_standard_code,08_battery_standard_product,battery_product_id
public,08_battery_standard_product,uq_08_battery_standard_product,UNIQUE,battery_standard_code,08_battery_standard_product,battery_standard_code
