source_file,brand_name,model_name,tire_model_key,target_local_file,target_storage_path,match_status
M006_MA-HS.png,맥시스,MA-HS,MAXXIS_MA_HS,assets-source/tire-models/maxxis/upload/MAXXIS_MA_HS/main.webp,tire-models/maxxis/MAXXIS_MA_HS/main.webp,MATCHED
M013_MA-SP.png,맥시스,MA-SP,MAXXIS_MA_SP,assets-source/tire-models/maxxis/upload/MAXXIS_MA_SP/main.webp,tire-models/maxxis/MAXXIS_MA_SP/main.webp,MATCHED
M018_MA-RACE.png,맥시스,MA-RACE,MAXXIS_MA_RACE,assets-source/tire-models/maxxis/upload/MAXXIS_MA_RACE/main.webp,tire-models/maxxis/MAXXIS_MA_RACE/main.webp,MATCHED
M022_MA-ST3.png,맥시스,MA-ST3,MAXXIS_MA_ST3,assets-source/tire-models/maxxis/upload/MAXXIS_MA_ST3/main.webp,tire-models/maxxis/MAXXIS_MA_ST3/main.webp,MATCHED
M026_MA-ST2.png,맥시스,MA-ST2,MAXXIS_MA_ST2,assets-source/tire-models/maxxis/upload/MAXXIS_MA_ST2/main.webp,tire-models/maxxis/MAXXIS_MA_ST2/main.webp,MATCHED
M030_MA-ADV.png,맥시스,MA-ADV,MAXXIS_MA_ADV,assets-source/tire-models/maxxis/upload/MAXXIS_MA_ADV/main.webp,tire-models/maxxis/MAXXIS_MA_ADV/main.webp,MATCHED
M035_MA-AT.png,맥시스,MA-AT,MAXXIS_MA_AT,assets-source/tire-models/maxxis/upload/MAXXIS_MA_AT/main.webp,tire-models/maxxis/MAXXIS_MA_AT/main.webp,MATCHED
M038_M6233.png,맥시스,M6233,MAXXIS_M6233,assets-source/tire-models/maxxis/upload/MAXXIS_M6233/main.webp,tire-models/maxxis/MAXXIS_M6233/main.webp,MATCHED
M040_M6234.png,맥시스,M6234,MAXXIS_M6234,assets-source/tire-models/maxxis/upload/MAXXIS_M6234/main.webp,tire-models/maxxis/MAXXIS_M6234/main.webp,MATCHED
M044_MA-SC.png,맥시스,MA-SC,MAXXIS_MA_SC,assets-source/tire-models/maxxis/upload/MAXXIS_MA_SC/main.webp,tire-models/maxxis/MAXXIS_MA_SC/main.webp,MATCHED
M046_M6135.png,맥시스,M6135,MAXXIS_M6135,assets-source/tire-models/maxxis/upload/MAXXIS_M6135/main.webp,tire-models/maxxis/MAXXIS_M6135/main.webp,MATCHED
M051_MA-PRO.png,맥시스,MA-PRO,MAXXIS_MA_PRO,assets-source/tire-models/maxxis/upload/MAXXIS_MA_PRO/main.webp,tire-models/maxxis/MAXXIS_MA_PRO/main.webp,MATCHED
M056_M6029.png,맥시스,M6029,MAXXIS_M6029,assets-source/tire-models/maxxis/upload/MAXXIS_M6029/main.webp,tire-models/maxxis/MAXXIS_M6029/main.webp,MATCHED
M067_S98.png,맥시스,S98,MAXXIS_S98,assets-source/tire-models/maxxis/upload/MAXXIS_S98/main.webp,tire-models/maxxis/MAXXIS_S98/main.webp,MATCHED
M069_M6240.png,맥시스,M6240,MAXXIS_M6240,assets-source/tire-models/maxxis/upload/MAXXIS_M6240/main.webp,tire-models/maxxis/MAXXIS_M6240/main.webp,MATCHED
M071_M186.png,맥시스,M186,MAXXIS_M186,assets-source/tire-models/maxxis/upload/MAXXIS_M186/main.webp,tire-models/maxxis/MAXXIS_M186/main.webp,MATCHED
M073_tube.png,맥시스,tube,,,,UNMATCHED
M074_M6017.png,맥시스,M6017,MAXXIS_M6017,assets-source/tire-models/maxxis/upload/MAXXIS_M6017/main.webp,tire-models/maxxis/MAXXIS_M6017/main.webp,MATCHED
M077_MA-R1.jpg,맥시스,MA-R1,MAXXIS_MA_R1,assets-source/tire-models/maxxis/upload/MAXXIS_MA_R1/main.webp,tire-models/maxxis/MAXXIS_MA_R1/main.webp,MATCHED
M082_M6024.png,맥시스,M6024,MAXXIS_M6024,assets-source/tire-models/maxxis/upload/MAXXIS_M6024/main.webp,tire-models/maxxis/MAXXIS_M6024/main.webp,MATCHED
M093_MA-CT1.jpg,맥시스,MA-CT1,MAXXIS_MA_CT1,assets-source/tire-models/maxxis/upload/MAXXIS_MA_CT1/main.webp,tire-models/maxxis/MAXXIS_MA_CT1/main.webp,MATCHED
