tire_model_key,model_name,asset_type,source_type,source_url,source_owner,usage_status,local_source_file,main_production_exists,sub01_source_reusable,review_status,notes
MAXXIS_M186,M186,MAIN,LOCAL_LEGACY,,,RIGHTS_UNKNOWN,assets-source/tire-models/maxxis/original/M071_M186.png,YES,NO,INVENTORIED,Origin and rights metadata not found; Production state does not clear reuse rights
MAXXIS_M6017,M6017,MAIN,LOCAL_LEGACY,,,RIGHTS_UNKNOWN,assets-source/tire-models/maxxis/original/M074_M6017.png,YES,NO,INVENTORIED,Origin and rights metadata not found; Production state does not clear reuse rights
MAXXIS_M6024,M6024,MAIN,LOCAL_LEGACY,,,RIGHTS_UNKNOWN,assets-source/tire-models/maxxis/original/M082_M6024.png,YES,NO,INVENTORIED,Origin and rights metadata not found; Production state does not clear reuse rights
MAXXIS_M6029,M6029,MAIN,LOCAL_LEGACY,,,RIGHTS_UNKNOWN,assets-source/tire-models/maxxis/original/M056_M6029.png,YES,NO,INVENTORIED,Origin and rights metadata not found; Production state does not clear reuse rights
MAXXIS_M6135,M6135,MAIN,LOCAL_LEGACY,,,RIGHTS_UNKNOWN,assets-source/tire-models/maxxis/original/M046_M6135.png,YES,NO,INVENTORIED,Origin and rights metadata not found; Production state does not clear reuse rights
MAXXIS_M6233,M6233,MAIN,LOCAL_LEGACY,,,RIGHTS_UNKNOWN,assets-source/tire-models/maxxis/original/M038_M6233.png,YES,NO,INVENTORIED,Origin and rights metadata not found; Production state does not clear reuse rights
MAXXIS_M6234,M6234,MAIN,LOCAL_LEGACY,,,RIGHTS_UNKNOWN,assets-source/tire-models/maxxis/original/M040_M6234.png,YES,NO,INVENTORIED,Origin and rights metadata not found; Production state does not clear reuse rights
MAXXIS_M6240,M6240,MAIN,LOCAL_LEGACY,,,RIGHTS_UNKNOWN,assets-source/tire-models/maxxis/original/M069_M6240.png,YES,NO,INVENTORIED,Origin and rights metadata not found; Production state does not clear reuse rights
MAXXIS_MA_ADV,MA-ADV,MAIN,LOCAL_LEGACY,,,RIGHTS_UNKNOWN,assets-source/tire-models/maxxis/original/M030_MA-ADV.png,YES,NO,INVENTORIED,Origin and rights metadata not found; Production state does not clear reuse rights
MAXXIS_MA_AT,MA-AT,MAIN,LOCAL_LEGACY,,,RIGHTS_UNKNOWN,assets-source/tire-models/maxxis/original/M035_MA-AT.png,YES,NO,INVENTORIED,Origin and rights metadata not found; Production state does not clear reuse rights
MAXXIS_MA_CT1,MA-CT1,MAIN,LOCAL_LEGACY,,,RIGHTS_UNKNOWN,assets-source/tire-models/maxxis/original/M093_MA-CT1.jpg,YES,NO,INVENTORIED,Origin and rights metadata not found; Production state does not clear reuse rights
MAXXIS_MA_HS,MA-HS,MAIN,LOCAL_LEGACY,,,RIGHTS_UNKNOWN,assets-source/tire-models/maxxis/original/M006_MA-HS.png,YES,NO,INVENTORIED,Origin and rights metadata not found; Production state does not clear reuse rights
MAXXIS_MA_MT,MA-MT,MAIN,NONE,,,USAGE_UNCLEAR,,NO,NO,SOURCE_MISSING,No local product source found
MAXXIS_MA_PRO,MA-PRO,MAIN,LOCAL_LEGACY,,,RIGHTS_UNKNOWN,assets-source/tire-models/maxxis/original/M051_MA-PRO.png,YES,NO,INVENTORIED,Origin and rights metadata not found; Production state does not clear reuse rights
MAXXIS_MA_R1,MA-R1,MAIN,LOCAL_LEGACY,,,RIGHTS_UNKNOWN,assets-source/tire-models/maxxis/original/M077_MA-R1.jpg,YES,NO,INVENTORIED,Origin and rights metadata not found; Production state does not clear reuse rights
MAXXIS_MA_RACE,MA-RACE,MAIN,LOCAL_LEGACY,,,RIGHTS_UNKNOWN,assets-source/tire-models/maxxis/original/M018_MA-RACE.png,YES,NO,INVENTORIED,Origin and rights metadata not found; Production state does not clear reuse rights
MAXXIS_MA_RS,MA-RS,MAIN_SOURCE,OFFICIAL_CATALOG_IMAGE,https://www.maxxis.com.tw/upload/ecatalog/2509041136470000002.pdf,MAXXIS,OFFICIAL_APPROVED,assets-source/tire-models/maxxis/original/MAXXIS_MA_RS_front.png,NO,YES,SOURCE_APPROVED,Front product cut extracted from official headquarters catalogue; previous usage status was USAGE_UNCLEAR; user confirmed official MAXXIS asset rights for FitBike
MAXXIS_MA_RS,MA-RS,MAIN_SOURCE,OFFICIAL_CATALOG_IMAGE,https://www.maxxis.com.tw/upload/ecatalog/2509041136470000002.pdf,MAXXIS,OFFICIAL_APPROVED,assets-source/tire-models/maxxis/original/MAXXIS_MA_RS_rear.png,NO,YES,SOURCE_APPROVED,Rear product cut extracted from official headquarters catalogue; user confirmed official MAXXIS asset rights for FitBike
MAXXIS_MA_RS,MA-RS,MAIN_SOURCE,OFFICIAL_DISTRIBUTOR_PRODUCT_IMAGE,https://www.maxxis.com.my/SUPERMAXX-RACE-SLICKMA-RS-59,MAXXIS official distributor (Daytona Sport),OFFICIAL_APPROVED,assets-source/tire-models/maxxis/original/MAXXIS_MA_RS_official_distributor_hd.png,YES,YES,APPROVED_FOR_PRODUCTION,MA-RS official distributor gallery original; shared Main and Sub 01 source; Production Storage and DB verification passed 2026-08-23
MAXXIS_MA_RS,MA-RS,SUB02,CODEX_GENERATED,,,USER_OWNED,assets-source/tire-models/maxxis/review/MAXXIS_MA_RS/sub-02-candidate.webp,YES,NO,APPROVED_FOR_PRODUCTION,User visual and Production approval; Storage and DB verification passed 2026-08-23
MAXXIS_MA_SC,MA-SC,MAIN,LOCAL_LEGACY,,,RIGHTS_UNKNOWN,assets-source/tire-models/maxxis/original/M044_MA-SC.png,YES,NO,INVENTORIED,Origin and rights metadata not found; Production state does not clear reuse rights
MAXXIS_MA_SP,MA-SP,MAIN,LOCAL_LEGACY,,,RIGHTS_UNKNOWN,assets-source/tire-models/maxxis/original/M013_MA-SP.png,YES,NO,INVENTORIED,Origin and rights metadata not found; Production state does not clear reuse rights
MAXXIS_MA_ST2,MA-ST2,MAIN,LOCAL_LEGACY,,,RIGHTS_UNKNOWN,assets-source/tire-models/maxxis/original/M026_MA-ST2.png,YES,NO,INVENTORIED,Origin and rights metadata not found; Production state does not clear reuse rights
MAXXIS_MA_ST3,MA-ST3,MAIN,LOCAL_LEGACY,,,RIGHTS_UNKNOWN,assets-source/tire-models/maxxis/original/M022_MA-ST3.png,YES,NO,INVENTORIED,Origin and rights metadata not found; Production state does not clear reuse rights
MAXXIS_S98,S98,MAIN,LOCAL_LEGACY,,,RIGHTS_UNKNOWN,assets-source/tire-models/maxxis/original/M067_S98.png,YES,NO,INVENTORIED,Origin and rights metadata not found; Production state does not clear reuse rights
