tire_model_key,model_name,source_file,target_local_file,target_storage_path,convert_status,upload_status,storage_verify_status,storage_url,db_update_status,db_verify_status,final_status,error_message
MAXXIS_MA_HS,MA-HS,M006_MA-HS.png,assets-source/tire-models/maxxis/upload/MAXXIS_MA_HS/main.webp,tire-models/maxxis/MAXXIS_MA_HS/main.webp,CONVERT_SUCCESS,UPLOAD_SUCCESS,STORAGE_VERIFY_SUCCESS,https://farjyjcvduthawpdjuqe.supabase.co/storage/v1/object/public/tire-assets/tire-models/maxxis/MAXXIS_MA_HS/main.webp,DB_UPDATE_SUCCESS,DB_VERIFY_SUCCESS,SUCCESS,
MAXXIS_MA_SP,MA-SP,M013_MA-SP.png,assets-source/tire-models/maxxis/upload/MAXXIS_MA_SP/main.webp,tire-models/maxxis/MAXXIS_MA_SP/main.webp,CONVERT_SUCCESS,UPLOAD_SUCCESS,STORAGE_VERIFY_SUCCESS,https://farjyjcvduthawpdjuqe.supabase.co/storage/v1/object/public/tire-assets/tire-models/maxxis/MAXXIS_MA_SP/main.webp,DB_UPDATE_SUCCESS,DB_VERIFY_SUCCESS,SUCCESS,
MAXXIS_MA_RACE,MA-RACE,M018_MA-RACE.png,assets-source/tire-models/maxxis/upload/MAXXIS_MA_RACE/main.webp,tire-models/maxxis/MAXXIS_MA_RACE/main.webp,CONVERT_SUCCESS,UPLOAD_SUCCESS,STORAGE_VERIFY_SUCCESS,https://farjyjcvduthawpdjuqe.supabase.co/storage/v1/object/public/tire-assets/tire-models/maxxis/MAXXIS_MA_RACE/main.webp,DB_UPDATE_SUCCESS,DB_VERIFY_SUCCESS,SUCCESS,
MAXXIS_MA_ST3,MA-ST3,M022_MA-ST3.png,assets-source/tire-models/maxxis/upload/MAXXIS_MA_ST3/main.webp,tire-models/maxxis/MAXXIS_MA_ST3/main.webp,CONVERT_SUCCESS,UPLOAD_SUCCESS,STORAGE_VERIFY_SUCCESS,https://farjyjcvduthawpdjuqe.supabase.co/storage/v1/object/public/tire-assets/tire-models/maxxis/MAXXIS_MA_ST3/main.webp,DB_UPDATE_SUCCESS,DB_VERIFY_SUCCESS,SUCCESS,
MAXXIS_MA_ST2,MA-ST2,M026_MA-ST2.png,assets-source/tire-models/maxxis/upload/MAXXIS_MA_ST2/main.webp,tire-models/maxxis/MAXXIS_MA_ST2/main.webp,CONVERT_SUCCESS,UPLOAD_SUCCESS,STORAGE_VERIFY_SUCCESS,https://farjyjcvduthawpdjuqe.supabase.co/storage/v1/object/public/tire-assets/tire-models/maxxis/MAXXIS_MA_ST2/main.webp,DB_UPDATE_SUCCESS,DB_VERIFY_SUCCESS,SUCCESS,
MAXXIS_MA_ADV,MA-ADV,M030_MA-ADV.png,assets-source/tire-models/maxxis/upload/MAXXIS_MA_ADV/main.webp,tire-models/maxxis/MAXXIS_MA_ADV/main.webp,CONVERT_SUCCESS,UPLOAD_SUCCESS,STORAGE_VERIFY_SUCCESS,https://farjyjcvduthawpdjuqe.supabase.co/storage/v1/object/public/tire-assets/tire-models/maxxis/MAXXIS_MA_ADV/main.webp,DB_UPDATE_SUCCESS,DB_VERIFY_SUCCESS,SUCCESS,
MAXXIS_MA_AT,MA-AT,M035_MA-AT.png,assets-source/tire-models/maxxis/upload/MAXXIS_MA_AT/main.webp,tire-models/maxxis/MAXXIS_MA_AT/main.webp,CONVERT_SUCCESS,UPLOAD_SUCCESS,STORAGE_VERIFY_SUCCESS,https://farjyjcvduthawpdjuqe.supabase.co/storage/v1/object/public/tire-assets/tire-models/maxxis/MAXXIS_MA_AT/main.webp,DB_UPDATE_SUCCESS,DB_VERIFY_SUCCESS,SUCCESS,
MAXXIS_M6233,M6233,M038_M6233.png,assets-source/tire-models/maxxis/upload/MAXXIS_M6233/main.webp,tire-models/maxxis/MAXXIS_M6233/main.webp,CONVERT_SUCCESS,UPLOAD_SUCCESS,STORAGE_VERIFY_SUCCESS,https://farjyjcvduthawpdjuqe.supabase.co/storage/v1/object/public/tire-assets/tire-models/maxxis/MAXXIS_M6233/main.webp,DB_UPDATE_SUCCESS,DB_VERIFY_SUCCESS,SUCCESS,
MAXXIS_M6234,M6234,M040_M6234.png,assets-source/tire-models/maxxis/upload/MAXXIS_M6234/main.webp,tire-models/maxxis/MAXXIS_M6234/main.webp,CONVERT_SUCCESS,UPLOAD_SUCCESS,STORAGE_VERIFY_SUCCESS,https://farjyjcvduthawpdjuqe.supabase.co/storage/v1/object/public/tire-assets/tire-models/maxxis/MAXXIS_M6234/main.webp,DB_UPDATE_SUCCESS,DB_VERIFY_SUCCESS,SUCCESS,
MAXXIS_MA_SC,MA-SC,M044_MA-SC.png,assets-source/tire-models/maxxis/upload/MAXXIS_MA_SC/main.webp,tire-models/maxxis/MAXXIS_MA_SC/main.webp,CONVERT_SUCCESS,UPLOAD_SUCCESS,STORAGE_VERIFY_SUCCESS,https://farjyjcvduthawpdjuqe.supabase.co/storage/v1/object/public/tire-assets/tire-models/maxxis/MAXXIS_MA_SC/main.webp,DB_UPDATE_SUCCESS,DB_VERIFY_SUCCESS,SUCCESS,
MAXXIS_M6135,M6135,M046_M6135.png,assets-source/tire-models/maxxis/upload/MAXXIS_M6135/main.webp,tire-models/maxxis/MAXXIS_M6135/main.webp,CONVERT_SUCCESS,UPLOAD_SUCCESS,STORAGE_VERIFY_SUCCESS,https://farjyjcvduthawpdjuqe.supabase.co/storage/v1/object/public/tire-assets/tire-models/maxxis/MAXXIS_M6135/main.webp,DB_UPDATE_SUCCESS,DB_VERIFY_SUCCESS,SUCCESS,
MAXXIS_MA_PRO,MA-PRO,M051_MA-PRO.png,assets-source/tire-models/maxxis/upload/MAXXIS_MA_PRO/main.webp,tire-models/maxxis/MAXXIS_MA_PRO/main.webp,CONVERT_SUCCESS,UPLOAD_SUCCESS,STORAGE_VERIFY_SUCCESS,https://farjyjcvduthawpdjuqe.supabase.co/storage/v1/object/public/tire-assets/tire-models/maxxis/MAXXIS_MA_PRO/main.webp,DB_UPDATE_SUCCESS,DB_VERIFY_SUCCESS,SUCCESS,
MAXXIS_M6029,M6029,M056_M6029.png,assets-source/tire-models/maxxis/upload/MAXXIS_M6029/main.webp,tire-models/maxxis/MAXXIS_M6029/main.webp,CONVERT_SUCCESS,UPLOAD_SUCCESS,STORAGE_VERIFY_SUCCESS,https://farjyjcvduthawpdjuqe.supabase.co/storage/v1/object/public/tire-assets/tire-models/maxxis/MAXXIS_M6029/main.webp,DB_UPDATE_SUCCESS,DB_VERIFY_SUCCESS,SUCCESS,
MAXXIS_S98,S98,M067_S98.png,assets-source/tire-models/maxxis/upload/MAXXIS_S98/main.webp,tire-models/maxxis/MAXXIS_S98/main.webp,CONVERT_SUCCESS,UPLOAD_SUCCESS,STORAGE_VERIFY_SUCCESS,https://farjyjcvduthawpdjuqe.supabase.co/storage/v1/object/public/tire-assets/tire-models/maxxis/MAXXIS_S98/main.webp,DB_UPDATE_SUCCESS,DB_VERIFY_SUCCESS,SUCCESS,
MAXXIS_M6240,M6240,M069_M6240.png,assets-source/tire-models/maxxis/upload/MAXXIS_M6240/main.webp,tire-models/maxxis/MAXXIS_M6240/main.webp,CONVERT_SUCCESS,UPLOAD_SUCCESS,STORAGE_VERIFY_SUCCESS,https://farjyjcvduthawpdjuqe.supabase.co/storage/v1/object/public/tire-assets/tire-models/maxxis/MAXXIS_M6240/main.webp,DB_UPDATE_SUCCESS,DB_VERIFY_SUCCESS,SUCCESS,
MAXXIS_M186,M186,M071_M186.png,assets-source/tire-models/maxxis/upload/MAXXIS_M186/main.webp,tire-models/maxxis/MAXXIS_M186/main.webp,CONVERT_SUCCESS,UPLOAD_SUCCESS,STORAGE_VERIFY_SUCCESS,https://farjyjcvduthawpdjuqe.supabase.co/storage/v1/object/public/tire-assets/tire-models/maxxis/MAXXIS_M186/main.webp,DB_UPDATE_SUCCESS,DB_VERIFY_SUCCESS,SUCCESS,
MAXXIS_M6017,M6017,M074_M6017.png,assets-source/tire-models/maxxis/upload/MAXXIS_M6017/main.webp,tire-models/maxxis/MAXXIS_M6017/main.webp,CONVERT_SUCCESS,UPLOAD_SUCCESS,STORAGE_VERIFY_SUCCESS,https://farjyjcvduthawpdjuqe.supabase.co/storage/v1/object/public/tire-assets/tire-models/maxxis/MAXXIS_M6017/main.webp,DB_UPDATE_SUCCESS,DB_VERIFY_SUCCESS,SUCCESS,
MAXXIS_MA_R1,MA-R1,M077_MA-R1.jpg,assets-source/tire-models/maxxis/upload/MAXXIS_MA_R1/main.webp,tire-models/maxxis/MAXXIS_MA_R1/main.webp,CONVERT_SUCCESS,UPLOAD_SUCCESS,STORAGE_VERIFY_SUCCESS,https://farjyjcvduthawpdjuqe.supabase.co/storage/v1/object/public/tire-assets/tire-models/maxxis/MAXXIS_MA_R1/main.webp,DB_UPDATE_SUCCESS,DB_VERIFY_SUCCESS,SUCCESS,
MAXXIS_M6024,M6024,M082_M6024.png,assets-source/tire-models/maxxis/upload/MAXXIS_M6024/main.webp,tire-models/maxxis/MAXXIS_M6024/main.webp,CONVERT_SUCCESS,UPLOAD_SUCCESS,STORAGE_VERIFY_SUCCESS,https://farjyjcvduthawpdjuqe.supabase.co/storage/v1/object/public/tire-assets/tire-models/maxxis/MAXXIS_M6024/main.webp,DB_UPDATE_SUCCESS,DB_VERIFY_SUCCESS,SUCCESS,
MAXXIS_MA_CT1,MA-CT1,M093_MA-CT1.jpg,assets-source/tire-models/maxxis/upload/MAXXIS_MA_CT1/main.webp,tire-models/maxxis/MAXXIS_MA_CT1/main.webp,CONVERT_SUCCESS,UPLOAD_SUCCESS,STORAGE_VERIFY_SUCCESS,https://farjyjcvduthawpdjuqe.supabase.co/storage/v1/object/public/tire-assets/tire-models/maxxis/MAXXIS_MA_CT1/main.webp,DB_UPDATE_SUCCESS,DB_VERIFY_SUCCESS,SUCCESS,
,tube,M073_tube.png,,,SKIPPED,SKIPPED,SKIPPED,,SKIPPED,SKIPPED,SKIPPED_NOT_TIRE_MODEL,
